Наименование;Раздел;Таблица фигур;Рабочая среда;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, с обязательным проведением профилактического осмотра и ремонта раз в два года, лет;Назначенный ресурс циклов за 4 года, циклов;Гарантия;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Tmax среды, ºC;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
Клапан (вентиль) запорный под приварку ручной 1456-25-М DN 25 PN 10,0 МПа  Т250 °С, корпус ст. 20;Энергетическая арматура;1456-25-М;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;25;100;280;Углеродистая сталь;5,2;По запросу;31940;Под заказ
Клапан (вентиль) запорный под приварку ручной 1с-11-31 DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура; 1с-11-31;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;25;100;450;Углеродистая сталь;5,4;По запросу;18920;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (ГЗ-А.100/24 У1) 1с-11-31ЭГ DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭГ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;25;100;450;Углеродистая сталь;48,1;По запросу;168160;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (Н-А2-08К У2) 1с-11-31ЭМ DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭМ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;25;100;450;Углеродистая сталь;30,1;По запросу;135400;Под заказ
Клапан (вентиль) запорный под приварку  с электроприводом (ПЭМ-А9М У2) 1с-11-31ЭЧ DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭЧ;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;25;100;450;Углеродистая сталь;33,1;По запросу;162550;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (ЭП-З-100-24-А2-05-В-У1) 1с-11-31ЭН DN 20 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭН;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;450;Углеродистая сталь;24,1;По запросу;260670;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (AUMA SA10.2-F10-380/50/3-22) 1с-11-31ЭД DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭД;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;450;Углеродистая сталь;34,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку с электроприводом (MODACT MON 52030.22E2N) 1с-11-31ЭК DN 25 PN 10,0 МПа Т450 °С, корпус ст. 20;Энергетическая арматура;1с-11-31ЭК;Вода - пар;от -45 до +40;У1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;С электроприводом;20;100;450;Углеродистая сталь;37,1;По запросу;0;Под заказ
Клапан (вентиль) запорный под приварку ручной 1456-32-0 DN 32 PN 10,0 МПа  Т250 °С, корпус ст. 20;Энергетическая арматура;1456-32-0;Вода - пар;От -60 до +40;ХЛ1;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;32;100;280;Углеродистая сталь;4,8;По запросу;74190;Под заказ
Клапан (вентиль) запорный под приварку ручной 1055-32-0 DN 32 PN 25,0 МПа Т545 °С, корпус ст. 12Х1МФ;Энергетическая арматура;1055-32-0;Пар;От -60 до +40;УХЛ;В;ОТК;30;1000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Под приварку;Ручной;32;250;545;Жаропрочная низколегированная сталь;39;По запросу;74190;Под заказ
