Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;100;6;Чугун;0;Под заказ;2000023;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 125 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;125;6;Чугун;0;Под заказ;2000024;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 150 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;150;6;Чугун;0;Под заказ;2000025;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 200 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;200;6;Чугун;0;Под заказ;2000026;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 250 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;250;6;Чугун;0;Под заказ;2000027;0.png;-
"Клапан запорный мембранный фланцевый ""до себя"" нормально закрытый 22ч7п DN 300 PN 0,6 МПа У3, корпус чугун, класс герметичности «А» по ГОСТ 9544-2015";Клапаны запорные;22ч7п;-;Фланцевое;Ручной;300;6;Чугун;0;Под заказ;2000028;0.png;-
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 50 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч73гм;-;Фланцевое;Ручной;50;6;Чугун;0;Под заказ;2000029;0.png;-
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 80 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч73гм;-;Фланцевое;Ручной;80;6;Чугун;0;Под заказ;2000030;0.png;-
Клапан запорный мембранный гуммированный фланцевый ручной 15ч73гм DN 100 PN 0,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч73гм;-;Фланцевое;Ручной;100;6;Чугун;0;Под заказ;2000031;0.png;-
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 6 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч74п1м;-;Фланцевое;Ручной;6;16;Чугун;0;Под заказ;2000032;0.png;-
